"BehaviorSpace results (NetLogo 6.2.0)"
"Fire.nlogo"
"experiment"
"10/07/2021 18:09:48:391 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","[step]","(burned-trees / initial-trees) * 100"
"70","30","20","0.7232986642732696"
"73","30","19","0.7450856055802156"
"72","30","22","0.6415014314494751"
"76","30","20","0.7704326275523948"
"77","30","19","0.705931935517859"
"78","30","20","0.6772009029345373"
"75","30","21","0.8625738778552793"
"79","30","22","0.9544121567581979"
"74","30","22","0.6847150531970926"
"80","30","22","0.5842052153592862"
"81","30","20","0.7253333333333333"
"83","30","23","0.689028949898515"
"86","30","27","0.7371794871794871"
"82","30","19","0.6498039847484024"
"84","30","22","0.716921454928835"
"87","30","18","0.7525969896120416"
"88","30","27","0.8547468014192021"
"85","30","21","0.7798822218685341"
"89","30","17","0.5440580328568381"
"90","30","22","0.6961050002656889"
"92","40","23","0.9245859462936163"
"91","40","30","0.8441481598359039"
"94","40","23","0.9592803407236397"
"95","40","24","1.0095389507154213"
"93","40","34","1.1164912561527072"
"97","40","25","1.0274657178267301"
"99","40","27","0.9231138107416879"
"98","40","33","1.0113830166977353"
"96","40","31","1.207968632421086"
"100","40","23","0.7315812492545027"
"102","40","23","0.9370763218757476"
"103","40","34","1.3485023270615377"
"104","40","28","1.0816399570525312"
"105","40","22","0.7244926550054037"
"101","40","27","1.3398587933247754"
"107","40","36","1.1101826429509372"
"106","40","30","1.0675729708116752"
"108","40","33","1.077638009774858"
"111","40","19","0.978612579906874"
